Date,Open,High,Low,Close,Adj Close,Volume,24h Open (USD),24h High (USD),24h Low (USD),Gas Fee (Wei),Circulating Marketcap,Volatility,Hash Rate,Average Difficulty,Total Fees,Average Transaction Fees
2018-06-11,524.856995,536.857971,515.268982,533.283997,533.283997,1982119936,524.753809,536.042373,510.471537,13950267534,51829509076,0.921099259,211.8929176,3.24E+15,400592.789,0.437193778
2018-06-12,532.710022,538.955017,491.234985,496.842987,496.842987,1932760064,531.483257,538.781736,485.449368,14048931400,52497763117,0.94270154,220.4382032,3.33E+15,558817.5357,0.644018624
2018-06-13,498.018005,501.904999,459.003998,477.493988,477.493988,2080130048,494.628866,500.878636,449.774666,14416451849,48848902897,0.909541831,217.6454069,3.27E+15,433374.8712,0.506647795
2018-06-14,478.381012,523.544983,467.466003,519.742004,519.742004,2458650112,475.89191,526.345823,460.516655,15916958110,47072184284,0.975295647,218.6631519,3.28E+15,381745.1855,0.450151037
2018-06-15,520.47998,521.304993,487.468994,491.003998,491.003998,1808269952,519.188362,520.974882,483.152919,16804997297,51422629369,0.988203396,217.96127,3.26E+15,429789.3115,0.501127286
2018-06-16,490.414001,503.222992,488.851013,499.641998,499.641998,1314109952,487.342426,502.075117,484.112406,24848435239,48224314613,0.992682495,223.8194826,3.29E+15,307504.4112,0.380356344
2018-06-17,499.459991,507.640991,498.64801,500.447998,500.447998,1264870016,496.988432,506.799567,494.099811,11225914551,49167167794,0.981040669,225.6116715,3.30E+15,277378.458,0.316993084
2018-06-18,499.382996,521.796021,494.06601,518.890991,518.890991,1513869952,495.909077,524.632662,488.287043,11823977189,49151205591,0.985055371,234.1044316,3.40E+15,332472.1864,0.374114497
2018-06-19,519.02301,542.353027,516.312012,537.95697,537.95697,1726569984,517.441165,547.184883,514.774192,14427312991,51239942228,0.99681778,230.6426942,3.44E+15,457776.2697,0.558059575
2018-06-20,538.505981,541.015015,519.369019,536.268005,536.268005,1596290048,538.065705,541.485795,516.906807,13472257819,53306312042,0.989224364,227.4821603,3.38E+15,371021.1514,0.432949362
2018-06-21,536.447021,543.71698,524.258972,527.367004,527.367004,1462070016,535.989677,544.27657,522.143754,13047918845,53100405266,0.98789756,234.9963725,3.46E+15,277642.0865,0.315259478
